movie_id,title,rating,popularity,genres,overview,release_date,genre_str
939243,Sonic the Hedgehog 3,7.783,3084.368,"['Action', 'Science Fiction', 'Comedy', 'Family']","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2024-12-19,Action Science Fiction Comedy Family
539972,Kraven the Hunter,6.6,1785.56,"['Action', 'Adventure', 'Thriller']","Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",2024-12-11,Action Adventure Thriller
1241982,Moana 2,7.208,1427.587,"['Animation', 'Adventure', 'Family', 'Comedy']","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2024-11-21,Animation Adventure Family Comedy
993710,Back in Action,6.633,1312.816,"['Action', 'Comedy']","Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.",2025-01-15,Action Comedy
1249289,Alarum,5.9,1149.463,"['Action', 'Crime', 'Thriller']","Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.",2025-01-16,Action Crime Thriller
1410082,Sniper: The Last Stand,6.5,1030.228,"['Action', 'Thriller']","To stop an arms dealer from unleashing a deadly superweapon, Ace sniper Brandon Beckett and Agent Zero are deployed to Costa Verde to lead a group of elite soldiers against an unrelenting militia. Taking an untested sniper under his wing, Beckett faces his newest challenge: giving orders instead of receiving them. With both time and ammo running low in a race to save humanity, the team must overcome all odds just to survive.",2025-01-21,Action Thriller
85,Raiders of the Lost Ark,7.926,980.647,"['Adventure', 'Action']","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",1981-06-12,Adventure Action
1097549,Babygirl,5.762,870.978,['Drama'],A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,2024-12-25,Drama
912649,Venom: The Last Dance,6.78,841.993,"['Action', 'Science Fiction', 'Adventure']","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2024-10-22,Action Science Fiction Adventure
426063,Nosferatu,6.7,763.015,"['Horror', 'Fantasy']","A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",2024-12-25,Horror Fantasy
558449,Gladiator II,6.8,805.586,"['Action', 'Adventure', 'Drama']","Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",2024-11-05,Action Adventure Drama
811941,Devara: Part 1,7.178,755.154,"['Action', 'Drama']","Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",2024-09-26,Action Drama
